module_name,collection_source,collection_name,jobs_total,number_of_jobs_never_started,hosts_total,task_clean_success_total,task_success_with_reruns_total,task_failed_total,task_unreachable_total,task_skipped_total,task_failed_and_ignored_total,jobs_failed_because_of_module_failure_total
amazon.aws.ec2_instance,certified,amazon.aws,33,0,5000,161262,0,0,2916,19073,6749,0
amazon.aws.ec2_security_group,certified,amazon.aws,37,0,5000,229856,0,0,4070,26643,9431,0
amazon.aws.ec2_vpc_subnet,certified,amazon.aws,25,0,5000,135899,0,0,2429,16014,5658,0
amazon.aws.iam_role,certified,amazon.aws,31,0,5000,170220,0,0,3027,19691,7062,0
amazon.aws.rds_instance,certified,amazon.aws,30,0,5000,174125,0,0,3122,20636,7117,0
amazon.aws.s3_bucket,certified,amazon.aws,36,0,5000,191101,0,0,3353,22492,8054,0
ansible.builtin.apt,Unknown,ansible.builtin,26,0,5000,140555,0,0,2407,16373,5665,0
ansible.builtin.command,Unknown,ansible.builtin,32,0,5000,195245,0,0,3462,23084,8209,0
ansible.builtin.copy,Unknown,ansible.builtin,33,0,5000,178559,0,0,3217,20870,7354,0
ansible.builtin.cron,Unknown,ansible.builtin,37,0,5000,216944,0,0,3799,25269,8988,0
ansible.builtin.debug,Unknown,ansible.builtin,26,0,5000,140329,0,0,2475,16514,5682,0
ansible.builtin.dnf,Unknown,ansible.builtin,31,0,5000,161400,0,0,2814,19086,6700,0
ansible.builtin.fetch,Unknown,ansible.builtin,33,0,5000,182480,0,0,3254,21705,7561,0
ansible.builtin.file,Unknown,ansible.builtin,30,0,5000,165753,0,0,2864,19587,6796,0
ansible.builtin.get_url,Unknown,ansible.builtin,30,0,5000,148841,0,0,2709,17394,6056,0
ansible.builtin.git,Unknown,ansible.builtin,33,0,5000,186752,0,0,3344,22185,7719,0
ansible.builtin.group,Unknown,ansible.builtin,29,0,5000,157011,0,0,2876,18662,6451,0
ansible.builtin.include_tasks,Unknown,ansible.builtin,38,0,5000,229640,0,0,4090,26888,9382,0
ansible.builtin.lineinfile,Unknown,ansible.builtin,33,0,5000,178765,0,0,3121,20904,7210,0
ansible.builtin.package,Unknown,ansible.builtin,21,0,5000,140204,0,0,2445,16387,5964,0
ansible.builtin.service,Unknown,ansible.builtin,33,0,5000,178612,0,0,3067,21026,7295,0
ansible.builtin.set_fact,Unknown,ansible.builtin,34,0,5000,203732,0,0,3725,24087,8456,0
ansible.builtin.shell,Unknown,ansible.builtin,34,0,5000,182740,0,0,3288,21494,7478,0
ansible.builtin.stat,Unknown,ansible.builtin,38,0,5000,225302,0,0,3999,26364,9335,0
ansible.builtin.systemd,Unknown,ansible.builtin,30,0,5000,182517,0,0,3261,21617,7605,0
ansible.builtin.template,Unknown,ansible.builtin,29,0,5000,161700,0,0,2810,18913,6577,0
ansible.builtin.uri,Unknown,ansible.builtin,24,0,5000,152992,0,0,2791,17926,6291,0
ansible.builtin.user,Unknown,ansible.builtin,36,0,5000,217033,0,0,3710,25496,8761,0
ansible.builtin.wait_for,Unknown,ansible.builtin,37,0,5000,199705,0,0,3578,23668,8049,0
