job_template_name,dark_total,failures_total,ok_total,skipped_total,ignored_total,rescued_total
Perf Test Template 0 94cc73cf,44904,67423,1235123,337714,112686,44887
Perf Test Template 1 94cc73cf,40020,60113,1100698,298480,100265,39975
Perf Test Template 2 94cc73cf,24733,37386,689422,187503,62669,25033
Perf Test Template 3 94cc73cf,24936,37308,686277,187647,62732,24889
Perf Test Template 4 94cc73cf,35209,52480,966642,263749,87258,35083
Perf Test Template 5 94cc73cf,50049,74928,1375290,373871,124828,49698
Perf Test Template 6 94cc73cf,34993,52273,964663,261109,87899,34932
Perf Test Template 7 94cc73cf,49769,75054,1378381,376393,124735,50337
Perf Test Template 8 94cc73cf,19947,29918,549889,150171,50131,20176
Perf Test Template 9 94cc73cf,35240,52221,960215,260214,87451,34983
